"Name.of.Covered.Entity","State","Covered.Entity.Type","Individuals.Affected","Type.of.Breach","Location.of.Breached.Information","month","year"
"Delta Specialty Hospital","TN","Healthcare Provider",1019,"Unauthorized Access/Disclosure","Email",5,2024
"The Kennedy Collective","CT","Healthcare Provider",851,"Hacking/IT Incident","Email",5,2024
"Allina Health System","MN","Healthcare Provider",715,"Unauthorized Access/Disclosure","Electronic Medical Record",5,2024
"Redwood Coast Regional Center","CA","Healthcare Provider",500,"Hacking/IT Incident","Network Server",5,2024
"Panoramic Health","AZ","Business Associate",5445,"Hacking/IT Incident","Email",5,2024
"Affiliated Dermatologists and Dermatologic Surgeons, P.A.","NJ","Healthcare Provider",380000,"Hacking/IT Incident","Network Server",5,2024
"Aetna ACE","CT","Health Plan",9191,"Hacking/IT Incident","Network Server",5,2024
"MedStar Health, Inc.","MD","Healthcare Provider",183079,"Hacking/IT Incident","Email",5,2024
"Marpai Health","NY","Healthcare Provider",1129,"Hacking/IT Incident","Email",5,2024
"UnitedHealthcare Insurance Company","CT","Business Associate",16665,"Unauthorized Access/Disclosure","Paper/Films",5,2024
"Merchants Benefit Administration","AZ","Health Plan",767,"Hacking/IT Incident","Email",4,2024
"AMERICAN RENAL MANAGEMENT","TN","Business Associate",501,"Hacking/IT Incident","Network Server",4,2024
"Inland Physicians Billing Services","CA","Healthcare Clearing House",77434,"Hacking/IT Incident","Network Server",4,2024
"Signature Healthcare Services LLC","CA","Business Associate",4487,"Hacking/IT Incident","Network Server",4,2024
"Guardant Health, Inc.","CA","Healthcare Provider",9309,"Unauthorized Access/Disclosure","Other",4,2024
"LivaNova USA, Inc.","TX","Business Associate",180000,"Hacking/IT Incident","Network Server",4,2024
"Forefront Dermatology, S.C. d/b/a Premier Dermatology","IL","Healthcare Provider",500,"Hacking/IT Incident","Email",4,2024
"OrthoConnecticut PLLC","CT","Healthcare Provider",118141,"Hacking/IT Incident","Network Server",4,2024
"Aspire Health Alliance","MA","Healthcare Provider",17490,"Hacking/IT Incident","Network Server",4,2024
"Bay Oral Surgery & Implant Center","WI","Healthcare Provider",13055,"Hacking/IT Incident","Email",4,2024
"Empath-Stratum Inc. doing business as  Empath Health","FL","Healthcare Provider",5545,"Hacking/IT Incident","Email",4,2024
"Therapeutic Health Services ","WA","Healthcare Provider",501,"Hacking/IT Incident","Network Server",4,2024
"County of Los Angeles Department of Health Services","CA","Healthcare Provider",6085,"Hacking/IT Incident","Email",4,2024
"Moffitt Cancer Center and Research Institute","FL","Healthcare Provider",26577,"Hacking/IT Incident","Network Server",4,2024
"Blackstone Valley Community Health Care","RI","Healthcare Provider",34518,"Hacking/IT Incident","Network Server",4,2024
"The Georgia Institute for Plastic Surgery","GA","Healthcare Provider",8111,"Hacking/IT Incident","Network Server",4,2024
"Health First Urgent Care PLLC","WA","Healthcare Provider",4538,"Unauthorized Access/Disclosure","Email",4,2024
"The Prudential Insurance Company of America","NJ","Health Plan",36092,"Hacking/IT Incident","Network Server",4,2024
"Bluebonnet Trails Community Services","TX","Healthcare Provider",76165,"Hacking/IT Incident","Email",4,2024
"Advarra, Inc.","MD","Business Associate",596,"Hacking/IT Incident","Network Server",4,2024
"Bridgeway Center, Inc.","FL","Healthcare Provider",36353,"Hacking/IT Incident","Network Server",4,2024
"Green Diamond Resource Company","WA","Health Plan",8172,"Hacking/IT Incident","Network Server",4,2024
"Hospice of the Bluegrass, Inc. dba Bluegrass Care Navigators","KY","Healthcare Provider",2282,"Hacking/IT Incident","Email",4,2024
"Orthopedic and Fracture Clinic dba West Idaho Orthopedics and Sports Medicine","ID","Healthcare Provider",5000,"Hacking/IT Incident","Network Server",4,2024
"Philips Respironics","PA","Business Associate",1338,"Hacking/IT Incident","Network Server",4,2024
"Philips Respironics","PA","Business Associate",7539,"Hacking/IT Incident","Network Server",4,2024
"Philips Respironics","PA","Business Associate",5576,"Hacking/IT Incident","Network Server",4,2024
"Moveable Feast, Inc.","MD","Healthcare Provider",568,"Improper Disposal","Paper/Films",4,2024
"MHNU Corporation d/b/a Medical Home Network","IL","Business Associate",681,"Hacking/IT Incident","Email",4,2024
"Dental Health Services","CA","Health Plan",4562,"Unauthorized Access/Disclosure","Email",4,2024
"Dental Health Services, Inc","WA","Health Plan",1778,"Unauthorized Access/Disclosure","Email",4,2024
"Somerset Dental Las Vegas","NV","Healthcare Provider",11321,"Hacking/IT Incident","Network Server",4,2024
"Catholic Medical Center","NH","Healthcare Provider",2792,"Hacking/IT Incident","Email",4,2024
"Kaiser Foundation Health Plan, Inc.","CA","Health Plan",13400000,"Unauthorized Access/Disclosure","Network Server",4,2024
"Rebound Orthopedics & Neurosurgery","WA","Healthcare Provider",500,"Hacking/IT Incident","Network Server",4,2024
"American Healthcare Systems LLC dba Randolph Health ","NC","Healthcare Provider",899,"Hacking/IT Incident","Email",4,2024
"CompuNet Clinical Laboratories","OH","Healthcare Provider",6963,"Unauthorized Access/Disclosure","Other Portable Electronic Device",4,2024
"The Epilepsy Foundation of Metro New York","NY","Healthcare Provider",3852,"Hacking/IT Incident","Network Server",4,2024
"Knowles Smith & Associates, d/b/a Village Family Dental ","NC","Healthcare Provider",240214,"Hacking/IT Incident","Network Server",4,2024
"Group Health Cooperative of South Central Wisconsin","WI","Health Plan",533809,"Hacking/IT Incident","Network Server",4,2024
"Island Ambulatory Surgery Center, LLC ","NY","Healthcare Provider",7900,"Hacking/IT Incident","Network Server",4,2024
"Sleep Management Institute","OH","Healthcare Provider",500,"Hacking/IT Incident","Network Server",4,2024
"Gaia Software, LLC","CO","Business Associate",56676,"Hacking/IT Incident","Network Server",4,2024
"BlueCross BlueShield of Tennessee, Inc. ","TN","Business Associate",550,"Unauthorized Access/Disclosure","Other",4,2024
"Jackson Medical Center, LLC","AL","Healthcare Provider",509,"Hacking/IT Incident","Network Server",4,2024
